Head,BTHotspot,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothEDRPower,BluetoothBDRPower,BluetoothLEPower
0,0,0,0,0,0,1,74,75,44
0,0,0,0,0,1,1,74,75,44
0,0,0,0,1,0,1,74,75,44
0,0,0,0,1,1,1,74,75,44
0,0,0,1,0,0,1,74,75,44
0,0,0,1,0,1,1,74,75,44
0,0,0,1,1,0,1,74,75,44
0,0,0,1,1,1,1,74,75,44
0,0,1,0,0,0,1,74,75,44
0,0,1,0,0,1,1,74,75,44
0,0,1,0,1,0,1,74,75,44
0,0,1,0,1,1,1,74,75,44
0,0,1,1,0,0,1,74,75,44
0,0,1,1,0,1,1,74,75,44
0,0,1,1,1,0,1,74,75,44
0,0,1,1,1,1,1,74,75,44
0,1,0,0,0,0,1,74,75,44
0,1,0,0,0,1,1,74,75,44
0,1,0,0,1,0,1,74,75,44
0,1,0,0,1,1,1,74,75,44
0,1,0,1,0,0,1,74,75,44
0,1,0,1,0,1,1,74,75,44
0,1,0,1,1,0,1,74,75,44
0,1,0,1,1,1,1,74,75,44
0,1,1,0,0,0,1,74,75,44
0,1,1,0,0,1,1,74,75,44
0,1,1,0,1,0,1,74,75,44
0,1,1,0,1,1,1,74,75,44
0,1,1,1,0,0,1,74,75,44
0,1,1,1,0,1,1,74,75,44
0,1,1,1,1,0,1,74,75,44
0,1,1,1,1,1,1,74,75,44
1,0,0,0,0,0,-1,74,75,44
1,0,0,0,0,1,-1,74,75,44
1,0,0,0,1,0,-1,74,75,44
1,0,0,0,1,1,-1,74,75,44
1,0,0,1,0,0,-1,74,75,44
1,0,0,1,0,1,-1,74,75,44
1,0,0,1,1,0,-1,74,75,44
1,0,0,1,1,1,-1,74,75,44
1,0,1,0,0,0,-1,74,75,44
1,0,1,0,0,1,-1,74,75,44
1,0,1,0,1,0,-1,74,75,44
1,0,1,0,1,1,-1,74,75,44
1,0,1,1,0,0,-1,74,75,44
1,0,1,1,0,1,-1,74,75,44
1,0,1,1,1,0,-1,74,75,44
1,0,1,1,1,1,-1,74,75,44
1,1,0,0,0,0,-1,74,75,44
1,1,0,0,0,1,-1,74,75,44
1,1,0,0,1,0,-1,74,75,44
1,1,0,0,1,1,-1,74,75,44
1,1,0,1,0,0,-1,74,75,44
1,1,0,1,0,1,-1,74,75,44
1,1,0,1,1,0,-1,74,75,44
1,1,0,1,1,1,-1,74,75,44
1,1,1,0,0,0,-1,74,75,44
1,1,1,0,0,1,-1,74,75,44
1,1,1,0,1,0,-1,74,75,44
1,1,1,0,1,1,-1,74,75,44
1,1,1,1,0,0,-1,74,75,44
1,1,1,1,0,1,-1,74,75,44
1,1,1,1,1,0,-1,74,75,44
1,1,1,1,1,1,-1,74,75,44
0,-1,-1,-1,-1,-1,0,74,75,44
